slug,issue,severity,before,after,fixed
paycheck-calculator,触摸目标<44px,high,pc-mode-tab 36px/input 38px,44px,yes
paycheck-calculator,输入框字号<16px,high,0.9rem(14.4px),16px,yes
paycheck-calculator,正文字号<14px,high,lbl 12.48px/deduction 13.6px,14px,yes
paycheck-calculator,首屏主按钮不可见,medium,按钮top=1040px,结构性问题,no
rhyme-finder,触摸目标<44px,high,btn 43px/checkbox 16px,44px,yes
rhyme-finder,输入框字号<16px,high,0.9rem(14.4px),16px,yes
rhyme-finder,正文字号<14px,high,updated 12.8px,14px,yes
online-compass,触摸目标<44px,high,btn 38px/真北磁北 36px,44px,yes
online-compass,正文字号<14px,high,compass-mark 13px,14px,yes
online-compass,首屏主按钮不可见,medium,按钮top=1329px,结构性问题,no
log-viewer,触摸目标<44px,high,btn 37px,44px,yes
log-viewer,输入框字号<16px,high,13px/13.33px,16px,yes
log-viewer,正文字号<14px,high,stats-bar 13px/btn 13px,14px,yes
character-unicode-finder,正文字号<14px,high,footer 13px,14px,yes
atbash-cipher,触摸目标<44px,high,checkbox 13px/btn 41px,44px,yes
atbash-cipher,输入框字号<16px,high,0.9rem(14.4px),16px,yes
atbash-cipher,正文字号<14px,high,faq答案 13.6px,14px,yes
en/mouse-tester,触摸目标<44px,high,btn 33px,44px,yes
en/mouse-tester,正文字号<14px,high,key 12.8px,14px,yes
en/mouse-tester,首屏主按钮不可见,medium,按钮top=1730px,结构性问题,no
time-duration-calc,正文字号<14px,high,footer 13px,14px,yes
monte-carlo-simulator,触摸目标<44px,high,input 39px,44px,yes
monte-carlo-simulator,输入框字号<16px,high,0.9rem/0.95rem/0.8rem,16px,yes
monte-carlo-simulator,正文字号<14px,high,hint 12.8px/sub 12.8px,14px,yes
monte-carlo-simulator,首屏主按钮不可见,medium,按钮top=1340px,结构性问题,no
cursive-text-generator,触摸目标<44px,high,btn 38px/btn-copy 33px,44px,yes
cursive-text-generator,输入框字号<16px,high,0.85rem(13.6px),16px,yes
cursive-text-generator,正文字号<14px,high,font-name 12.8px/li 13.6px,14px,yes
cursive-text-generator,首屏主按钮不可见,medium,按钮top=460px(EN),结构性问题,no
unicode-decoder,触摸目标<44px,high,mode-btn 37px/btn 43px,44px,yes
unicode-decoder,正文字号<14px,high,mode-btn 13px/footer 13px,14px,yes
unicode-decoder,首屏主按钮不可见,medium,结构性问题,no
binary-calculator,触摸目标<44px,high,op-btn 38px,44px,yes
binary-calculator,输入框字号<16px,high,0.9rem(14.4px),16px,yes
binary-calculator,正文字号<14px,high,span 12px/13.6px,14px,yes
trig-calculator,触摸目标<44px,high,checkbox 13px/btn 41px,44px,yes
trig-calculator,输入框字号<16px,high,0.9rem(14.4px),16px,yes
trig-calculator,正文字号<14px,high,updated 12.8px,14px,yes
electricity-cost-calculator,正文字号<14px,high,footer 13px,14px,yes
sleep-calculator,触摸目标<44px,high,select 41px/btn 42px,44px,yes
sleep-calculator,正文字号<14px,high,cycle-count span 13.6px/12.8px,14px,yes
sleep-calculator,首屏主按钮不可见,medium,按钮top=1135px,结构性问题,no
kpi-calculator,触摸目标<44px,high,input 38px,44px,yes
kpi-calculator,输入框字号<16px,high,0.9rem(14.4px),16px,yes
kpi-calculator,正文字号<14px,high,footer 12.8px,14px,yes
kpi-calculator,首屏主按钮不可见,medium,按钮top=783px,结构性问题,no
gpu-benchmark,触摸目标<44px,high,btn 43px,44px,yes
gpu-benchmark,输入框字号<16px,high,0.9rem(14.4px),16px,yes
gpu-benchmark,正文字号<14px,high,nav-back 13.6px,14px,yes
cidr-calculator,横向滚动,high,sw=380px(EN),sw=375px,yes
cidr-calculator,触摸目标<44px,high,btn-calc 42px,44px,yes
cidr-calculator,输入框字号<16px,high,15px,16px,yes
cidr-calculator,正文字号<14px,high,preset-tag 12px/sub 12px,14px,yes
emoji-combiner,触摸目标<44px,high,tab-btn 32px/btn 38px,44px,yes
emoji-combiner,正文字号<14px,high,label 12.8px/13.6px,14px,yes
emoji-combiner,首屏主按钮不可见,medium,按钮top=1284px,结构性问题,no
